date,value
2011-04-29,1388.62
2011-05-31,1354.607
2011-06-30,1331.182
2011-07-29,1306.054
2011-08-31,1211.224
2011-09-30,1104.065
2011-10-31,1217.296
2011-11-30,1184.604
2011-12-30,1182.595
2012-01-31,1240.894
2012-02-29,1298.72
2012-03-30,1312.011
2012-04-30,1293.991
2012-05-31,1177.645
2012-06-29,1235.716
2012-07-31,1250.569
2012-08-31,1279.208
2012-09-28,1311.504
2012-10-31,1301.522
2012-11-30,1315.493
2012-12-31,1338.5
2013-01-31,1405.466
2013-02-28,1405.18
2013-03-29,1434.515
2013-04-30,1476.139
2013-05-31,1471.933
2013-06-28,1433.548
2013-07-31,1507.913
2013-08-30,1472.738
2013-09-30,1543.672
2013-10-31,1602.86
2013-11-29,1628.424
2013-12-31,1661.069
2014-01-31,1598.456
2014-02-28,1675.4
2014-03-31,1673.874
2014-04-30,1687.742
2014-05-30,1715.184
2014-06-30,1743.415
2014-07-31,1714.353
2014-08-29,1748.688
2014-09-30,1698.408
2014-10-31,1708.092
2014-11-28,1739.497
2014-12-31,1709.672
2015-01-30,1677.537
2015-02-27,1772.862
2015-03-31,1740.814
2015-04-30,1778.4
2015-05-29,1779.307
2015-06-30,1735.613
2015-07-31,1765.604
2015-08-31,1645.43
2015-09-30,1581.922
2015-10-30,1705.803
2015-11-30,1694.397
2015-12-31,1662.794
2016-01-29,1562.178
2016-02-29,1547.174
2016-03-31,1648.118
2016-04-29,1670.796
2016-05-31,1674.613
2016-06-30,1653.229
2016-07-29,1721.788
2016-08-31,1719.524
2016-09-30,1725.665
2016-10-31,1690.922
2016-11-30,1712.089
2016-12-30,1751.219
2017-01-31,1792.403
2017-02-28,1838.699
2017-03-31,1853.69
2017-04-28,1878.276
2017-05-31,1911.74
2017-06-30,1916.426
2017-07-31,1961.1
2017-08-31,1959.743
2017-09-29,2000.553
2017-10-31,2036.804
2017-11-30,2077.36
2017-12-29,2103.448
2018-01-31,2213.238
2018-02-28,2117.993
2018-03-30,2066.845
2018-04-30,2086.514
2018-05-31,2092.923
2018-06-29,2089.301
2018-07-31,2153.096
2018-08-31,2175.498
2018-09-28,2184.009
2018-10-31,2021.982
2018-11-30,2041.359
2018-12-31,1883.901
2019-01-31,2028.492
2019-02-28,2085.845
2019-03-29,2107.742
2019-04-30,2178.674
2019-05-31,2046.246
2019-06-28,2178.347
2019-07-31,2187.564
2019-08-30,2138.521
2019-09-30,2180.018
2019-10-31,2233.526
2019-11-29,2292.259
2019-12-31,2358.468
2020-01-31,2342.414
2020-02-28,2141.124
2020-03-31,1852.727
2020-04-30,2052.845
2020-05-29,2147.882
2020-06-30,2201.788
2020-07-31,2304.982
2020-08-31,2455.512
2020-09-30,2367.27
2020-10-30,2292.925
2020-11-30,2583.143
2020-12-31,2690.044
2021-01-29,2661.691
2021-02-26,2726.91
2021-03-31,2811.699
2021-04-30,2938.764
2021-05-31,2975.701
2021-06-30,3017.222
2021-07-30,3069.249
2021-08-31,3141.351
